epoch,accuracy,loss,val_accuracy,val_loss
0,0.42524999380111694,2.241316795349121,0.20440764725208282,3.3324124813079834
1,0.7085000276565552,1.004086971282959,0.6103078126907349,1.3532600402832031
2,0.8345833420753479,0.5740365386009216,0.6253498196601868,1.343878149986267
3,0.918916642665863,0.30664363503456116,0.6449393630027771,1.31608247756958
4,0.9449999928474426,0.21707303822040558,0.6532182693481445,1.3797857761383057
5,0.9538333415985107,0.17853207886219025,0.6296641826629639,1.4943453073501587
6,0.953166663646698,0.17161285877227783,0.6177704930305481,1.6794377565383911
7,0.9583333134651184,0.15584410727024078,0.6332789063453674,1.5515836477279663
8,0.9636666774749756,0.13271979987621307,0.5998134613037109,1.7364506721496582
9,0.9619166851043701,0.13641996681690216,0.6323460936546326,1.5936791896820068
