epoch,accuracy,loss,val_accuracy,val_loss
0,0.42925000190734863,2.23921799659729,0.23997201025485992,3.2155706882476807
1,0.7229999899864197,0.967849612236023,0.6185867786407471,1.3468520641326904
2,0.8550833463668823,0.5083505511283875,0.6462219953536987,1.275892972946167
3,0.9118333458900452,0.32689520716667175,0.6424906849861145,1.3494130373001099
4,0.937666654586792,0.22264428436756134,0.629081130027771,1.435092568397522
5,0.9483333230018616,0.18969151377677917,0.6239505410194397,1.5156517028808594
6,0.953416645526886,0.17469848692417145,0.6346781849861145,1.50894296169281
7,0.9661666750907898,0.13257703185081482,0.6015625,1.6847811937332153
8,0.968916654586792,0.11704353988170624,0.6297807693481445,1.6346724033355713
9,0.9612500071525574,0.1360872983932495,0.565065324306488,1.9606949090957642
10,0.9641666412353516,0.12796629965305328,0.609375,1.7611342668533325
11,0.9702500104904175,0.10383126884698868,0.5829057693481445,1.820181131362915
12,0.9696666598320007,0.11009205877780914,0.636543869972229,1.7075365781784058
13,0.9745000004768372,0.09495009481906891,0.6247667670249939,1.6385653018951416
14,0.9806666374206543,0.07304763048887253,0.5875699520111084,1.9997351169586182
15,0.9747499823570251,0.08823560923337936,0.5619170069694519,2.1594467163085938
16,0.981166660785675,0.0706082358956337,0.5717117786407471,2.212790012359619
17,0.9838333129882812,0.06356863677501678,0.5909515023231506,2.0777156352996826
18,0.972000002861023,0.09708661586046219,0.6098414063453674,1.877480387687683
19,0.9774166941642761,0.07475152611732483,0.5542210936546326,2.2149927616119385
