epoch,accuracy,loss,val_accuracy,val_loss
0,0.2136666625738144,3.7777669429779053,0.16044776141643524,3.717427968978882
1,0.3981666564941406,3.016974925994873,0.5417444109916687,1.6684849262237549
2,0.49033331871032715,2.7391042709350586,0.6133395433425903,1.4368658065795898
3,0.5543333292007446,2.5194482803344727,0.597481369972229,1.463701844215393
4,0.6060000061988831,2.364635944366455,0.6241837739944458,1.3606351613998413
5,0.6327499747276306,2.2768642902374268,0.6350280046463013,1.3790913820266724
6,0.6646666526794434,2.1736137866973877,0.6244170069694519,1.4210822582244873
7,0.6898333430290222,2.09126877784729,0.6272155046463013,1.3937067985534668
8,0.7116666436195374,2.018644332885742,0.6277984976768494,1.406965732574463
9,0.7206666469573975,1.9742213487625122,0.6399253606796265,1.3876116275787354
10,0.7410833239555359,1.9122689962387085,0.6344449520111084,1.4124727249145508
11,0.7598333358764648,1.8559355735778809,0.6241837739944458,1.5172427892684937
12,0.7627500295639038,1.820826768875122,0.6297807693481445,1.4734010696411133
13,0.777916669845581,1.7869350910186768,0.6215018630027771,1.4884792566299438
14,0.780916690826416,1.7567330598831177,0.6239505410194397,1.5274999141693115
15,0.7912499904632568,1.70445716381073,0.6245335936546326,1.5103179216384888
16,0.7927500009536743,1.7086396217346191,0.6517024040222168,1.42416512966156
17,0.7953333258628845,1.6709016561508179,0.6420242786407471,1.465132713317871
18,0.8046666383743286,1.6470907926559448,0.6448227763175964,1.4630919694900513
19,0.8059999942779541,1.6277074813842773,0.6253498196601868,1.536811113357544
