epoch,accuracy,loss,val_accuracy,val_loss
0,0.2202499955892563,3.7649435997009277,0.20720615983009338,3.474673271179199
1,0.4087499976158142,3.0025947093963623,0.5626165866851807,1.5930160284042358
2,0.49024999141693115,2.728973865509033,0.6083255410194397,1.4300588369369507
3,0.5547500252723694,2.5433123111724854,0.6180037260055542,1.3983756303787231
4,0.6075000166893005,2.3734610080718994,0.6366604566574097,1.3046566247940063
5,0.6390833258628845,2.254848003387451,0.5944496393203735,1.5265411138534546
6,0.6629999876022339,2.17345929145813,0.6269822716712952,1.4068727493286133
7,0.6799166798591614,2.0987179279327393,0.6127565503120422,1.4673737287521362
8,0.7193333506584167,2.0134685039520264,0.6288479566574097,1.3954142332077026
9,0.7351666688919067,1.9632395505905151,0.6167210936546326,1.4390456676483154
